login;client;account_id;first_deposit_id
3639642;25831;570086139;37032272
3648174;75264;702559253;37112579
3650697;89278;717548133;35428843
3651651;52437;733441170;35186270
3658908;32725;820931437;36992110
3662517;96348;868747378;35668097
3662670;19577;869754907;36920602
3664065;94947;884026833;36875592
3665427;75642;887957204;35438068
3665853;88991;889419552;36852030
3673572;6434;943374660;36447948
3680979;12558;999138916;35780948
3686121;82483;1046503516;35887754
3687465;14833;1064548973;35208353
3696795;94650;1261406371;36882039
3697377;41454;1275171827;
3702918;73010;1355859476;35394656
3704001;33215;1371687788;35459683
3715065;91525;1552944039;35887742
3716817;73164;1579986957;37030004
3720285;57050;1618349746;35618132
3720462;70490;1619820232;35662119
3721077;88102;1624940174;36576259
3738045;4449;1700842578;35530890
3750072;27664;1817272201;36144277
3754074;53082;1845175888;35114833
3759423;84868;1935642440;35542626
3760290;29835;1953409940;36368818
3762663;39592;1984439484;36473940
3763842;6153;2002858894;35706600
3765231;49686;2032224792;36130971
3767562;97331;2081638826;36393212
3801228;96685;2133526998;36314067
3816183;8281;2159196918;37114095
3819174;52598;2172476329;35324141
3828564;24206;2273828613;35268224
3833181;52156;2336554128;36523175
3836262;43855;2372266137;36021974
3836613;22883;2376899166;37375024
3841149;71099;2459251457;35258993
3841527;29106;2466349038;36777932
3842049;5720;#N/A;36543708
3842493;71316;2488616149;35549524
3842874;67921;2494834397;37189727
3842970;20433;2496597818;36156299
3843795;40838;2515101967;35143888
3843798;40838;2515101987;35937290
3845334;91234;2547296386;35130881
3846819;7371;2581549336;36536197
3847785;83811;2609038263;
3848295;84357;2619540744;35517038
3848298;84357;2619684156;35469548
3848571;80458;2625461750;35225102
3848619;15680;2627951332;36789016
3848769;44436;2631357775;37344141
3849696;73598;2658052583;35283628
3849843;48027;2662468292;35637639
3849921;83741;2664977077;36169953
3849942;49279;2665586368;35266370
3850167;81445;2674331774;36835884
3850596;18006;2688938722;37151356
3851247;23261;2693409852;36849168
3851376;89572;2693771922;35256990
3851445;77000;2693921782;37222664
3851514;44835;2694720812;36212548
3851628;72215;2695032792;35307934
3851892;68705;2697178990;36506751
3851898;69433;2697226461;36155555
3852078;63035;2699353112;35135198
3852240;70315;2700318545;35143344
3852315;67971;2701228193;36120654
3852618;8540;2703248020;36420269
3852651;68124;2703286810;36896217
3853134;8463;2706008040;35619588
3853245;87808;2707101062;36585293
3853599;34899;2710378132;
3854328;27524;2715162271;35782980
3854535;15442;2716536051;37233809
3854859;77467;2719502342;35857311
3854991;65259;2720856898;35907354
3855288;23618;2724404682;37234737
3855849;58426;2730374595;37116235
3855906;44619;2730574260;35305038
3856461;20332;2736480124;35622892
3856887;1750;2742393915;37212944
3857268;78468;2748577858;35115596
3857772;44037;2755340829;36460858
3858051;5194;2758352107;35553427
3858159;53881;2758565460;35796707
3858312;18263;2759612514;35130586
3858672;99845;2763813356;35940841
