login;created_at;transaction_id;amount;currency
27061833;2025-02-27 16:24;13203755;10000;JPY
6087675;2025-02-28 16:04;17434895;100000;JPY
5471727;2025-02-28 16:16;14728768;30000;JPY
6634899;2025-02-28 16:29;6104013;30000;JPY
6629259;2025-02-27 21:31;6095829;50000;JPY
5471208;2025-02-28 00:46;14724946;100000;JPY
3872052;2025-02-28 00:58;35658192;100000;JPY
6087549;2025-02-28 01:06;17420872;100000;JPY
5471655;2025-02-28 01:06;14724978;100000;JPY
5471658;2025-02-28 01:06;14724980;100000;JPY
27064641;2025-02-27 23:06;13204861;40000;JPY
3871947;2025-02-28 01:06;35658272;100000;JPY
3871971;2025-02-28 01:02;35658247;70000;JPY
5471589;2025-02-28 01:16;14725019;25000;JPY
5471574;2025-02-28 01:22;14725031;100000;JPY
5471679;2025-02-28 01:59;14725109;150000;JPY
5470587;2025-02-28 02:11;14725168;50000;JPY
27059196;2025-02-28 00:46;13205208;19000;JPY
5471109;2025-02-28 02:46;14725317;20000;JPY
5470335;2025-02-28 02:50;14725329;50000;JPY
5472417;2025-03-16 17:52;14778712;5000;JPY
5465307;2025-03-16 17:49;14778711;100000;JPY
5472396;2025-03-16 09:47;14778702;10000;JPY
6063486;2025-02-28 03:05;17422996;20000;JPY
3872031;2025-02-28 03:08;35659669;100000;JPY
3870336;2025-02-28 03:06;35659654;30000;JPY
5463636;2025-02-28 03:10;14725481;100000;JPY
3872088;2025-02-28 03:16;35659727;100000;JPY
3871878;2025-02-28 03:16;35659730;100000;JPY
6087393;2025-02-28 03:37;17423547;100000;JPY
5472513;2025-03-20 06:36;14790842;2000;JPY
3871998;2025-02-28 03:37;35660048;2000;JPY
3870552;2025-02-28 03:37;35660051;10000;JPY
6084465;2025-02-28 03:41;17423638;20000;JPY
3872046;2025-02-28 03:43;35660119;100000;JPY
6634608;2025-02-28 03:42;6097939;100000;JPY
5472576;2025-03-20 11:06;14791772;10000;JPY
5470659;2025-02-28 04:05;14725671;100000;JPY
5472564;2025-03-20 16:51;14793993;50000;JPY
5471664;2025-02-28 04:12;14725696;100000;JPY
3872628;2025-03-16 07:25;35824122;100000;JPY
3869157;2025-03-16 10:56;35824130;10000;JPY
3870840;2025-03-16 16:20;35824141;50000;JPY
3872700;2025-03-18 08:34;35841687;10000;JPY
6634914;2025-02-28 04:47;6098498;100000;JPY
3871560;2025-02-28 05:01;35660890;100000;JPY
3872655;2025-03-18 10:06;35842449;7500;JPY
5471592;2025-02-28 05:09;14725953;25000;JPY
6087279;2025-02-28 05:25;17425371;100000;JPY
5471718;2025-02-28 05:25;14725988;8000;JPY
5471709;2025-02-28 05:26;14725991;30000;JPY
3865956;2025-02-28 05:32;35661094;50000;JPY
5454837;2025-02-28 05:36;14726013;51000;JPY
6634923;2025-02-28 05:46;6098852;100000;JPY
3871986;2025-02-28 06:06;35661338;50000;JPY
3871983;2025-02-28 06:06;35661339;50000;JPY
6087600;2025-02-28 06:06;17425760;300000;JPY
3872691;2025-03-18 16:03;35846459;5000;JPY
27061197;2025-02-28 04:07;13206321;1000000;JPY
5471730;2025-02-28 06:26;14726169;2000;JPY
6634884;2025-02-28 06:36;6099068;20000;JPY
6087483;2025-02-28 06:36;17425998;50000;JPY
6087636;2025-02-28 06:40;17426045;100000;JPY
6621396;2025-02-28 06:40;6099088;100000;JPY
6604434;2025-02-28 06:44;6099106;75000;JPY
5457795;2025-02-28 06:59;14726263;100000;JPY
3871395;2025-02-28 07:06;35661619;100000;JPY
3872736;2025-03-20 04:09;35864761;50000;JPY
3870669;2025-02-28 07:07;35661623;50000;JPY
3872646;2025-03-20 08:36;35866223;160000;JPY
4335279;2025-02-25 08:41;74330423;50000;JPY
3859779;2025-02-28 08:03;35662040;66000;JPY
3871968;2025-02-28 08:06;35662060;25000;JPY
5470839;2025-02-28 08:07;14726463;10000;JPY
3872799;2025-03-20 12:16;35868693;5000;JPY
6087672;2025-02-28 08:06;17426910;12000;JPY
3720462;2025-02-28 08:10;35662119;10000;JPY
3869625;2025-02-28 08:18;35662193;100000;JPY
3872019;2025-02-28 08:26;35662237;30000;JPY
5463615;2025-02-28 08:41;14726576;100000;JPY
5471586;2025-02-28 08:48;14726586;100000;JPY
3872781;2025-03-20 17:06;35872466;500000;JPY
6634929;2025-02-28 09:20;6099917;20000;JPY
6634797;2025-02-28 09:20;6099913;100000;JPY
3871890;2025-02-28 09:46;35663076;26000;JPY
27028224;2025-02-28 08:00;13208391;150000;JPY
5472507;2025-03-22 03:46;14798636;100000;JPY
6634869;2025-02-28 10:49;6101024;10000;JPY
3871977;2025-02-28 11:07;35664300;500000;JPY
6634422;2025-02-28 11:26;6101310;10000;JPY
27064539;2025-02-28 09:52;13209371;5000;JPY
3868824;2025-02-28 12:07;35664948;50000;JPY
6634941;2025-02-28 12:07;6101635;10000;JPY
6634935;2025-02-28 12:07;6101636;100000;JPY
6087705;2025-02-28 21:13;17440238;10000;JPY
