,ftd_month,count,volume,avg_amount
0,2025-01,876,487815.7690373216,556.8673162526502
1,2025-02,666,429361.02123583446,644.6862180718235
2,2025-03,358,230712.59987933055,644.4486030148898
3,2025-04,402,299541.7336129384,745.1286905794487
4,2025-05,357,252317.33418534946,706.7712442166652
5,2025-06,370,158618.55108575986,428.6987867182699
6,2025-07,252,124290.96131174495,493.2181004434323
7,2025-08,756,291496.7128569469,385.57766250918905
8,2025-09,513,247469.63093364943,482.3969413911295
9,2025-10,211,129346.30960111966,613.0156853133633
10,2025-11,106,60465.9047133725,570.4330633337029
